Product ID,Category,Sub-Category,Product Name,State,Price per product
OFF-AP-10000252,Office Supplies,Appliances,Harmony HEPA Quiet Air Purifiers,Washington,11.7
TEC-MA-10001972,Technology,Machines,Okidata C331dn Printer,Texas,209.4
TEC-AC-10003280,Technology,Accessories,Belkin F8E887 USB Wired Ergonomic Keyboard,California,29
OFF-BI-10000977,Office Supplies,Binders,Ibico Plastic Spiral Binding Combs,California,24.32
OFF-PA-10004039,Office Supplies,Paper,Xerox 1882,North Carolina,44.784
OFF-PA-10001790,Office Supplies,Paper,Xerox 1910,Illinois,38.432
OFF-PA-10000551,Office Supplies,Paper,Array Memo Cubes,Texas,4.144
FUR-BO-10000330,Furniture,Bookcases,"Sauder Camden County Barrister Bookcase, Planked Cherry Finish",Louisiana,120.98
FUR-TA-10003392,Furniture,Tables,Global Adaptabilities Conference Tables,Kentucky,280.98
FUR-FU-10002253,Furniture,Furnishings,"Howard Miller 13"" Diameter Pewter Finish Round Wall Clock",Arizona,34
OFF-BI-10004001,Office Supplies,Binders,GBC Recycled VeloBinder Covers,California,13.55555556
FUR-FU-10000820,Furniture,Furnishings,Tensor Brushed Steel Torchiere Floor Lamp,Virginia,16.99
OFF-AR-10003504,Office Supplies,Art,Newell 347,California,4.28
FUR-TA-10003008,Furniture,Tables,"Lesro Round Back Collection Coffee Table, End Table",Utah,182.55
OFF-ST-10002485,Office Supplies,Storage,Rogers Deluxe File Chest,Illinois,17.584
FUR-CH-10002320,Furniture,Chairs,Hon Pagoda Stacking Chairs,Rhode Island,320.98
OFF-SU-10004498,Office Supplies,Supplies,Martin-Yale Premier Letter Opener,Washington,12.88
OFF-BI-10001308,Office Supplies,Binders,GBC Standard Plastic Binding Systems' Combs,Texas,1.256
OFF-BI-10001553,Office Supplies,Binders,SpineVue Locking Slant-D Ring Binders by Cardinal,Florida,2.742
OFF-AP-10004655,Office Supplies,Appliances,"Holmes Visible Mist Ultrasonic Humidifier with 2.3-Gallon Output per Day, Replacement Filter",Texas,2.264
FUR-CH-10004698,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton",Pennsylvania,56.66666667
OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,Tennessee,72.784
TEC-PH-10003811,Technology,Phones,Jabra Supreme Plus Driver Edition Headset,New York,119.99
OFF-SU-10001574,Office Supplies,Supplies,Acme Value Line Scissors,California,3.65
OFF-PA-10001800,Office Supplies,Paper,Xerox 220,California,6.48
OFF-BI-10004965,Office Supplies,Binders,Ibico Covers for Plastic or Wire Binding Elements,Michigan,11.5
OFF-BI-10004967,Office Supplies,Binders,Round Ring Binders,Colorado,0.624
OFF-AR-10003958,Office Supplies,Art,Newell 337,Florida,2.624
OFF-BI-10001097,Office Supplies,Binders,Avery Hole Reinforcements,Washington,4.666666667
OFF-PA-10002246,Office Supplies,Paper,"Wirebound Four 2-3/4 x 5 Forms per Page, 400 Sets per Book",California,6.45
FUR-FU-10004973,Furniture,Furnishings,Flat Face Poster Frame,District of Columbia,18.84
OFF-BI-10004236,Office Supplies,Binders,"XtraLife ClearVue Slant-D Ring Binder, White, 3""",Georgia,14.68
TEC-PH-10002563,Technology,Phones,Adtran 1202752G1,California,100.792
OFF-BI-10002225,Office Supplies,Binders,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",California,16.512
FUR-FU-10000747,Furniture,Furnishings,Tenex B1-RE Series Chair Mats for Low Pile Carpets,New York,45.98
FUR-FU-10001979,Furniture,Furnishings,Dana Halogen Swing-Arm Architect Lamp,Colorado,32.776
OFF-LA-10003148,Office Supplies,Labels,Avery 51,Illinois,5.04
OFF-SU-10002573,Office Supplies,Supplies,"Acme 10"" Easy Grip Assistive Scissors",New York,17.5
OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,Virginia,8.73
TEC-PH-10003535,Technology,Phones,RCA ViSYS 25423RE1 Corded phone,Colorado,79.5
OFF-ST-10001496,Office Supplies,Storage,Standard Rollaway File with Lock,Delaware,180.19
FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",Maryland,100.98
OFF-BI-10002982,Office Supplies,Binders,Avery Self-Adhesive Photo Pockets for Polaroid Photos,California,5.448
OFF-FA-10004076,Office Supplies,Fasteners,Translucent Push Pins by OIC,Pennsylvania,1.584
FUR-FU-10003192,Furniture,Furnishings,Luxo Adjustable Task Clamp Lamp,New York,88.77777778
OFF-ST-10001128,Office Supplies,Storage,"Carina Mini System Audio Rack, Model AR050B",Indiana,110.75
OFF-EN-10004459,Office Supplies,Envelopes,Security-Tint Envelopes,Minnesota,7.64
OFF-ST-10001291,Office Supplies,Storage,"Tenex Personal Self-Stacking Standard File Box, Black/Gray",Texas,13.528
OFF-PA-10002195,Office Supplies,Paper,Xerox 1966,California,6.48
FUR-FU-10004845,Furniture,Furnishings,"Deflect-o EconoMat Nonstudded, No Bevel Mat",Ohio,41.32
OFF-AR-10003469,Office Supplies,Art,Nontoxic Chalk,New York,1.76
OFF-BI-10000301,Office Supplies,Binders,GBC Instant Report Kit,Florida,1.941
OFF-BI-10001071,Office Supplies,Binders,GBC ProClick Punch Binding System,Minnesota,63.98
OFF-PA-10001972,Office Supplies,Paper,Xerox 214,Washington,6.48
TEC-AC-10003441,Technology,Accessories,Kingston Digital DataTraveler 32GB USB 2.0,Ohio,13.56
FUR-TA-10004619,Furniture,Tables,Hon Non-Folding Utility Tables,Texas,111.517
OFF-FA-10004248,Office Supplies,Fasteners,Advantus T-Pin Paper Clips,California,4.51
TEC-AC-10004145,Technology,Accessories,Logitech diNovo Edge Keyboard,Georgia,249.99
OFF-PA-10000100,Office Supplies,Paper,Xerox 1945,Georgia,40.99
OFF-BI-10001116,Office Supplies,Binders,"Wilson Jones 1"" Hanging DublLock Ring Binders",Michigan,5.28
TEC-CO-10003236,Technology,Copiers,Canon Image Class D660 Copier,Montana,599.99
OFF-PA-10004569,Office Supplies,Paper,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",New York,7.61
OFF-ST-10001780,Office Supplies,Storage,Tennsco 16-Compartment Lockers with Coat Rack,Texas,518.312
OFF-LA-10003190,Office Supplies,Labels,Avery 474,Tennessee,2.304
FUR-FU-10004020,Furniture,Furnishings,Advantus Panel Wall Acrylic Frame,Michigan,5.47
OFF-BI-10002103,Office Supplies,Binders,"Cardinal Slant-D Ring Binder, Heavy Gauge Vinyl",Ohio,2.5
OFF-AP-10004785,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Medium Room",Missouri,11.33
OFF-AR-10003251,Office Supplies,Art,Prang Drawing Pencil Set,California,2.5
OFF-PA-10001994,Office Supplies,Paper,"Ink Jet Note and Greeting Cards, 8-1/2"" x 5-1/2"" Card Size",Arkansas,22.48
TEC-PH-10003012,Technology,Phones,Nortel Meridian M3904 Professional Digital phone,Wisconsin,153.99
FUR-FU-10001861,Furniture,Furnishings,"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",New York,19.4
OFF-LA-10001074,Office Supplies,Labels,Round Specialty Laser Printer Labels,Texas,10.024
OFF-AR-10003876,Office Supplies,Art,"Avery Hi-Liter GlideStik Fluorescent Highlighter, Yellow Ink",New York,3.26
TEC-AC-10002800,Technology,Accessories,Plantronics Audio 478 Stereo USB Headset,Pennsylvania,39.992
OFF-AR-10004022,Office Supplies,Art,Panasonic KP-380BK Classic Electric Pencil Sharpener,Florida,28.66666667
OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Ohio,4.777777778
TEC-PH-10001061,Technology,Phones,Apple iPhone 5C,Texas,79.992
FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",California,8.09
TEC-PH-10002584,Technology,Phones,Samsung Galaxy S4,Illinois,500.5
TEC-PH-10001552,Technology,Phones,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Ohio,7.176
OFF-BI-10002735,Office Supplies,Binders,GBC Prestige Therm-A-Bind Covers,California,27.448
OFF-EN-10001219,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Florida,6.112
OFF-BI-10000279,Office Supplies,Binders,"Acco Recycled 2"" Capacity Laser Printer Hanging Data Binders",New York,11.56
OFF-BI-10000069,Office Supplies,Binders,"GBC Prepunched Paper, 19-Hole, for Binding Systems, 24-lb",Pennsylvania,4.503
FUR-FU-10003489,Furniture,Furnishings,Contemporary Borderless Frame,California,8.61
TEC-AC-10003116,Technology,Accessories,Memorex Froggy Flash Drive 8 GB,Oregon,14.2
TEC-PH-10000169,Technology,Phones,ARKON Windshield Dashboard Air Vent Car Mount Holder,Indiana,16.95
OFF-AR-10000462,Office Supplies,Art,Sanford Pocket Accent Highlighters,New York,1.6
FUR-FU-10000175,Furniture,Furnishings,DAX Wood Document Frame.,Virginia,13.73
OFF-ST-10004963,Office Supplies,Storage,Eldon Gobal File Keepers,Pennsylvania,12.112
TEC-AC-10003447,Technology,Accessories,Micropad Numeric Keypads,Arizona,15.5
OFF-AP-10002191,Office Supplies,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Washington,59.98
TEC-PH-10004700,Technology,Phones,PowerGen Dual USB Car Charger,Illinois,7.992
OFF-AR-10002804,Office Supplies,Art,Faber Castell Col-Erase Pencils,Texas,3.912
OFF-SU-10001218,Office Supplies,Supplies,Fiskars Softgrip Scissors,California,10.98
TEC-AC-10001109,Technology,Accessories,Logitech Trackman Marble Mouse,Texas,23.75
TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Minnesota,22.99
OFF-BI-10002949,Office Supplies,Binders,Prestige Round Ring Binders,California,4.864
OFF-LA-10001934,Office Supplies,Labels,Avery 516,California,7.31
OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,Washington,6
FUR-FU-10004091,Furniture,Furnishings,"Eldon 200 Class Desk Accessories, Black",Georgia,6.28
OFF-BI-10002976,Office Supplies,Binders,ACCOHIDE Binder by Acco,Florida,1.239
OFF-PA-10001950,Office Supplies,Paper,Southworth 25% Cotton Antique Laid Paper & Envelopes,California,8.285714286
OFF-PA-10000743,Office Supplies,Paper,Xerox 1977,Massachusetts,6.68
FUR-FU-10004188,Furniture,Furnishings,Luxo Professional Combination Clamp-On Lamps,New Hampshire,102.3
FUR-FU-10000293,Furniture,Furnishings,Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,Indiana,105.29
OFF-BI-10002026,Office Supplies,Binders,Ibico Recycled Linen-Style Covers,California,31.248
OFF-PA-10001685,Office Supplies,Paper,Easy-staple paper,Alabama,10.14
OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,Illinois,2.596
OFF-PA-10001289,Office Supplies,Paper,White Computer Printout Paper by Universal,Illinois,31.008
OFF-SU-10001225,Office Supplies,Supplies,Staple remover,Tennessee,2.944
OFF-ST-10001505,Office Supplies,Storage,"Perma STOR-ALL Hanging File Box, 13 1/8""W x 12 1/4""D x 10 1/2""H",California,5.98
FUR-CH-10004495,Furniture,Chairs,"Global Leather and Oak Executive Chair, Black",California,240.784
TEC-AC-10004568,Technology,Accessories,Maxell LTO Ultrium - 800 GB,Tennessee,22.392
TEC-PH-10003442,Technology,Phones,Samsung Replacement EH64AVFWE Premium Headset,New York,5.5
FUR-CH-10002073,Furniture,Chairs,Hon Olson Stacker Chairs,Virginia,264.78
TEC-AC-10002049,Technology,Accessories,Logitech G19 Programmable Gaming Keyboard,California,123.99
TEC-PH-10003174,Technology,Phones,RCA ViSYS 25825 Wireless digital phone,California,103.992
OFF-BI-10001617,Office Supplies,Binders,GBC Wire Binding Combs,California,8.272
OFF-PA-10001970,Office Supplies,Paper,Xerox 1881,Minnesota,12.28
FUR-CH-10002880,Furniture,Chairs,"Global High-Back Leather Tilter, Burgundy",California,98.392
OFF-BI-10001153,Office Supplies,Binders,Ibico Recycled Grain-Textured Covers,California,27.632
FUR-TA-10001676,Furniture,Tables,Hon 61000 Series Interactive Training Tables,California,35.544
OFF-ST-10002615,Office Supplies,Storage,"Dual Level, Single-Width Filing Carts",California,155.06
TEC-PH-10003963,Technology,Phones,GE 2-Jack Phone Line Splitter,Pennsylvania,123.594
OFF-AP-10001242,Office Supplies,Appliances,APC 7 Outlet Network SurgeArrest Surge Protector,Texas,16.096
OFF-BI-10004465,Office Supplies,Binders,Avery Durable Slant Ring Binders,Tennessee,2.376
OFF-PA-10000682,Office Supplies,Paper,Xerox 1924,Ohio,4.624
OFF-BI-10001658,Office Supplies,Binders,GBC Standard Therm-A-Bind Covers,Ohio,7.476
TEC-MA-10004679,Technology,Machines,StarTech.com 10/100 VDSL2 Ethernet Extender Kit,Texas,199.77
TEC-CO-10001766,Technology,Copiers,Canon PC940 Copier,Illinois,359.992
TEC-PH-10003215,Technology,Phones,Jackery Bar Premium Fast-charging Portable Charger,California,23.96
OFF-LA-10002312,Office Supplies,Labels,Avery 490,Texas,11.84
OFF-BI-10000948,Office Supplies,Binders,"GBC Laser Imprintable Binding System Covers, Desert Sand",Oklahoma,14
TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,California,30.19
OFF-AR-10001919,Office Supplies,Art,"OIC #2 Pencils, Medium Soft",Ohio,1.504
TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Texas,31.992
TEC-AC-10001013,Technology,Accessories,Logitech ClearChat Comfort/USB Headset H390,Texas,23
TEC-PH-10000984,Technology,Phones,Panasonic KX-TG9471B,Kentucky,195.99
FUR-CH-10004287,Furniture,Chairs,SAFCO Arco Folding Chair,Tennessee,220.6666667
OFF-BI-10000773,Office Supplies,Binders,Insertable Tab Post Binder Dividers,Michigan,8.02
OFF-BI-10001670,Office Supplies,Binders,Vinyl Sectional Post Binders,California,30.16
OFF-BI-10002072,Office Supplies,Binders,Cardinal Slant-D Ring Binders,Indiana,8.69
FUR-CH-10000595,Furniture,Chairs,Safco Contoured Stacking Chairs,New York,214.56
OFF-EN-10001532,Office Supplies,Envelopes,Brown Kraft Recycled Envelopes,Virginia,16.98
OFF-PA-10000223,Office Supplies,Paper,Xerox 2000,Florida,5.184
FUR-TA-10001691,Furniture,Tables,"Barricks Non-Folding Utility Table with Steel Legs, Laminate Tops",California,68.232
OFF-ST-10000876,Office Supplies,Storage,Eldon Simplefile Box Office,California,12.44
OFF-AP-10003281,Office Supplies,Appliances,Acco 6 Outlet Guardian Standard Surge Suppressor,Missouri,12.09
OFF-AP-10001563,Office Supplies,Appliances,Belkin Premiere Surge Master II 8-outlet surge protector,Virginia,48.58
OFF-BI-10003982,Office Supplies,Binders,Wilson Jones Century Plastic Molded Ring Binders,New York,16.616
OFF-ST-10002011,Office Supplies,Storage,Smead Adjustable Mobile File Trolley with Lockable Top,Delaware,419.19
TEC-PH-10004522,Technology,Phones,Dexim XPower Skin Super-Thin Power Case for iPhone 5 - Black,Idaho,46.792
TEC-PH-10002923,Technology,Phones,"Logitech B530 USB Headset - headset - Full size, Binaural",Florida,29.592
OFF-LA-10003223,Office Supplies,Labels,Avery 508,Georgia,4.91
OFF-AR-10002375,Office Supplies,Art,Newell 351,Arizona,2.624
FUR-TA-10001520,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Texas,49.959
FUR-FU-10001588,Furniture,Furnishings,"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",New Jersey,29.18
OFF-EN-10001137,Office Supplies,Envelopes,"#10 Gummed Flap White Envelopes, 100/Box",Texas,3.304
FUR-FU-10001617,Furniture,Furnishings,"Executive Impressions 8-1/2"" Career Panel/Partition Cubicle Clock",Colorado,8.32
OFF-BI-10000014,Office Supplies,Binders,Heavy-Duty E-Z-D Binders,Illinois,2.182
OFF-ST-10003716,Office Supplies,Storage,Tennsco Double-Tier Lockers,Tennessee,180.016
OFF-BI-10003429,Office Supplies,Binders,"Cardinal HOLDit! Binder Insert Strips,Extra Strips",Texas,1.266
TEC-MA-10000423,Technology,Machines,Texas Instruments TI-34 Scientific Calculator,Delaware,21.99
OFF-AP-10004540,Office Supplies,Appliances,"Eureka The Boss Lite 10-Amp Upright Vacuum, Blue",New York,80
OFF-FA-10004395,Office Supplies,Fasteners,Plymouth Boxed Rubber Bands by Plymouth,Nebraska,4.71
FUR-FU-10001095,Furniture,Furnishings,DAX Black Cherry Wood-Tone Poster Frame,Texas,10.592
OFF-PA-10002377,Office Supplies,Paper,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",Wisconsin,5.5
OFF-PA-10000007,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 4 1/4"" x 6""",New York,3.6
OFF-PA-10002259,Office Supplies,Paper,"Geographics Note Cards, Blank, White, 8 1/2"" x 11""",Colorado,8.75
OFF-PA-10001569,Office Supplies,Paper,Xerox 232,Oklahoma,6.48
TEC-AC-10001142,Technology,Accessories,First Data FD10 PIN Pad,Washington,79
